goalie,official_gaa,adjusted_gaa,gaa_diff,team,time_on_ice,games_played,seconds_adjusted
Ahola,1.9259061120770362,1.9626550361183044,0.03674892404126817,Ottawa Charge,124:37,2,140
Schroeder,2.5571560724197173,2.5764359302964235,0.019279857876706163,Seattle Torrent,1008:56,17,453
Levy,2.3251522421110904,2.3404848147116186,0.015332572600528227,Boston Fleet,180:38,3,71
Campbell,2.167469433123379,2.1761874869219504,0.008718053798571379,Vancouver Goldeneyes,719:44,13,173
Hensley,2.6894917714358897,2.6940922405867136,0.004600469150823905,Minnesota Frost,780:49,13,80
Rooney,2.0377708022436063,2.0420441067775927,0.004273304533986444,Minnesota Frost,971:39,16,122
Osborne,2.4694745506928246,2.4734683522895438,0.003993801596719138,New York Sirens,1579:17,27,153
Desbiens,1.1130004637501931,1.1142061281337048,0.001205664383511662,Montréal Victoire,1509:26,25,98
Murphy,2.8743189930490325,2.8753318142310134,0.001012821181980872,Seattle Torrent,709:44,12,15
Frankel,1.174835775644265,1.1755783086841107,0.0007425330398458385,Boston Fleet,1583:12,26,60
Kirk,1.867842715784012,1.8680273285479547,0.0001846127639426598,Toronto Sceptres,1349:09,23,8
