game_id,pulling_team_name,pull_time_minutes,goal_differential_after_pull,positive_goals,negative_goals
210,Minnesota Frost,58.8,0,[],[]
211,Vancouver Goldeneyes,57.88333333333333,1,['Thompson'],[]
212,Ottawa Charge,57.166666666666664,-1,[],['Nylén Persson']
213,Montréal Victoire,57.15,0,[],[]
214,New York Sirens,55.65,-1,[],['Flaherty']
215,Vancouver Goldeneyes,55.43333333333333,-1,[],['Jenner']
216,Seattle Torrent,56.53333333333333,0,[],[]
218,Toronto Sceptres,57.75,-1,[],['Müller']
219,Ottawa Charge,56.766666666666666,-1,[],['Coyne Schofield']
220,Vancouver Goldeneyes,57.56666666666667,0,[],[]
222,Ottawa Charge,58.266666666666666,-1,[],['Turnbull']
224,Toronto Sceptres,57.833333333333336,0,[],[]
226,Ottawa Charge,58.55,0,[],[]
228,New York Sirens,57.5,0,[],[]
229,Ottawa Charge,56.166666666666664,0,['Leslie'],['Bilka']
230,Boston Fleet,58.96666666666667,-2,[],"['Knoll', 'Pannek']"
231,Vancouver Goldeneyes,56.4,0,[],[]
232,New York Sirens,57.916666666666664,0,['Girard'],['Compher']
234,Seattle Torrent,57.083333333333336,1,['Eldridge'],[]
236,Montréal Victoire,57.43333333333333,0,[],[]
238,Montréal Victoire,57.61666666666667,0,[],[]
240,Seattle Torrent,58.35,0,[],[]
241,Toronto Sceptres,54.25,-1,[],['Coyne Schofield']
242,Vancouver Goldeneyes,56.166666666666664,0,[],[]
243,Montréal Victoire,56.25,1,['Mlýnková'],[]
244,Minnesota Frost,56.916666666666664,-1,[],['Jenner']
246,Boston Fleet,58.81666666666667,0,[],[]
247,Montréal Victoire,58.8,1,['Roque'],[]
248,Toronto Sceptres,58.166666666666664,-1,[],['Kaltounková']
249,Vancouver Goldeneyes,58.15,-1,['Karvinen'],"['Jenner', 'Leslie']"
250,Seattle Torrent,58.78333333333333,0,[],[]
253,Vancouver Goldeneyes,58.233333333333334,0,[],[]
254,Ottawa Charge,59.11666666666667,0,[],[]
255,Toronto Sceptres,57.266666666666666,1,['Maltais'],[]
258,Montréal Victoire,59.86666666666667,0,[],[]
261,Toronto Sceptres,58.45,0,[],[]
262,Minnesota Frost,58.13333333333333,1,['Pannek'],[]
264,Ottawa Charge,57.833333333333336,-1,[],['Roque']
265,New York Sirens,56.93333333333333,-2,[],"['Knoll', 'Pannek']"
266,Seattle Torrent,57.36666666666667,0,[],[]
270,Vancouver Goldeneyes,58.28333333333333,-1,[],['Curl-Salemme']
271,New York Sirens,56.36666666666667,0,[],[]
272,Seattle Torrent,57.8,-2,[],"['Hjalmarsson', 'Flanagan']"
275,Vancouver Goldeneyes,59.0,0,[],[]
276,Toronto Sceptres,58.733333333333334,1,['Compher'],[]
277,Seattle Torrent,58.6,0,[],[]
278,New York Sirens,57.45,0,[],[]
279,Ottawa Charge,58.3,-1,[],['Fillier']
282,Ottawa Charge,57.333333333333336,-1,[],['Willoughby']
283,Boston Fleet,58.81666666666667,0,[],[]
284,Seattle Torrent,56.63333333333333,-1,[],['Heise']
285,Ottawa Charge,58.666666666666664,1,['Wozniewicz'],[]
286,Boston Fleet,50.766666666666666,2,"['Keller', 'Tapani']",[]
287,Seattle Torrent,58.03333333333333,-1,[],['Hjalmarsson']
288,New York Sirens,57.96666666666667,0,[],[]
289,Boston Fleet,58.65,-1,[],['Turnbull']
291,New York Sirens,58.46666666666667,-1,[],['McMahon']
292,Seattle Torrent,58.11666666666667,-1,[],['Stacey']
293,Vancouver Goldeneyes,56.86666666666667,-1,[],['Curl-Salemme']
296,Vancouver Goldeneyes,59.416666666666664,-1,[],['Tapani']
298,New York Sirens,57.75,0,[],[]
300,New York Sirens,58.75,0,[],[]
301,Toronto Sceptres,58.166666666666664,0,[],[]
302,Minnesota Frost,58.666666666666664,0,[],[]
303,Seattle Torrent,58.38333333333333,0,[],[]
305,Vancouver Goldeneyes,57.766666666666666,-2,[],"['Scamurra', 'Flaherty']"
306,Ottawa Charge,58.483333333333334,0,[],[]
307,Vancouver Goldeneyes,57.55,1,['Daniel'],[]
309,Seattle Torrent,58.38333333333333,-1,[],['Darkangelo']
311,Ottawa Charge,59.083333333333336,-1,[],['Barnes']
312,New York Sirens,57.333333333333336,-1,[],['Curl-Salemme']
313,Toronto Sceptres,58.5,-1,[],['Wozniewicz']
314,Boston Fleet,57.233333333333334,0,[],[]
316,Toronto Sceptres,58.55,0,[],[]
317,Minnesota Frost,57.266666666666666,1,['Curl-Salemme'],[]
320,Vancouver Goldeneyes,55.166666666666664,1,"['Gardiner', 'Miller']",['Serdachny']
321,Minnesota Frost,58.31666666666667,0,[],[]
322,New York Sirens,58.666666666666664,0,[],[]
323,Montréal Victoire,51.81666666666667,3,"['Scamurra', 'Scamurra', 'Scamurra']",[]
325,Minnesota Frost,57.733333333333334,1,['Pannek'],[]
328,Toronto Sceptres,54.28333333333333,-1,[],['Vasko']
329,New York Sirens,54.733333333333334,-1,[],['Saulnier']
